"V1" "V2"
"1" 0 " u"
"2" 30167 " 3"
"3" 37156 " 2"
"4" 38310 " w"
"5" 48257 " 2"
"6" 52786 " 1"
"7" 54171 " 3"
"8" 54912 " 2"
"9" 55617 " w"
"10" 56948 " 2"
"11" 57948 " w"
"12" 59019 " 2"
"13" 61192 " 4"
"14" 62709 " 2"
"15" 63006 " w"
"16" 63811 " 2"
"17" 68015 " o"
"18" 72223 " u"
"19" 78255 " w"
"20" 78871 " 2"
"21" 79958 " 1"
"22" 87978 " 2"
"23" 89721 " o"
"24" 91158 " u"
"25" 97029 " w"
"26" 97982 " 2"
"27" 100922 " w"
"28" 102084 " 2"
"29" 103850 " 1"
"30" 104462 " 2"
"31" 106875 " 4"
"32" 107343 " 2"
"33" 108147 " w"
"34" 108697 " 2"
"35" 109958 " 4"
"36" 110684 " 2"
"37" 112219 " 1"
"38" 112623 " 2"
"39" 119733 " 4"
"40" 121498 " 2"
"41" 126651 " w"
"42" 132316 " 2"
"43" 136608 " w"
"44" 137037 " 2"
"45" 140374 " 1"
"46" 146786 " 3"
"47" 147819 " o"
"48" 148181 " u"
"49" 153398 " 1"
"50" 153882 " q"
"51" 154636 " 1"
"52" 169712 " q"
"53" 170755 " 1"
"54" 172708 " q"
"55" 173694 " 1"
"56" 177664 " q"
"57" 178503 " 1"
"58" 179142 " 3"
"59" 181411 " 4"
"60" 188092 " 2"
"61" 189096 " w"
"62" 189524 " 2"
"63" 190908 " w"
"64" 191852 " 2"
"65" 192779 " 4"
"66" 193636 " 3"
"67" 194214 " 4"
"68" 196699 " o"
"69" 197230 " u"
"70" 203602 " 3"
"71" 207520 " 4"
"72" 222076 " o"
"73" 224189 " u"
"74" 227127 " 3"
"75" 233987 " o"
"76" 234351 " u"
"77" 241728 " o"
"78" 242183 " u"
"79" 269486 " 4"
"80" 270789 " 3"
"81" 272370 " 4"
"82" 272875 " 3"
"83" 288086 " o"
"84" 288503 " u"
"85" 305147 " 1"
"86" 307916 " 2"
"87" 308554 " w"
"88" 315416 " p"
