"V1" "V2"
"1" 0 " u"
"2" 6336 " 3"
"3" 12023 " o"
"4" 12514 " u"
"5" 13590 " o"
"6" 14804 " u"
"7" 17880 " 1"
"8" 24211 " o"
"9" 28490 " 2"
"10" 35959 " u"
"11" 40201 " 4"
"12" 42925 " 3"
"13" 48173 " o"
"14" 51674 " u"
"15" 58196 " 1"
"16" 60089 " q"
"17" 62437 " 1"
"18" 65897 " o"
"19" 66970 " u"
"20" 79457 " q"
"21" 80138 " 1"
"22" 81269 " 3"
"23" 89507 " 1"
"24" 90798 " q"
"25" 91860 " 1"
"26" 93624 " o"
"27" 94304 " u"
"28" 98151 " 2"
"29" 106140 " 4"
"30" 114073 " o"
"31" 118396 " u"
"32" 121988 " 3"
"33" 133141 " 4"
"34" 140632 " o"
"35" 150894 " u"
"36" 155634 " 3"
"37" 158787 " o"
"38" 161815 " u"
"39" 166776 " 4"
"40" 170918 " o"
"41" 171537 " u"
"42" 172815 " o"
"43" 173662 " u"
"44" 192059 " 3"
"45" 194630 " o"
"46" 197314 " u"
"47" 199428 " 4"
"48" 205116 " 2"
"49" 210080 " o"
"50" 213237 " u"
"51" 217291 " o"
"52" 217713 " u"
"53" 219256 " w"
"54" 225194 " p"
