"V1" "V2"
"1" 76 " u"
"2" 34605 " 4"
"3" 38850 " 3"
"4" 41425 " 4"
"5" 42103 " 3"
"6" 45532 " 4"
"7" 48198 " 3"
"8" 52070 " 1"
"9" 52987 " o"
"10" 53763 " u"
"11" 60752 " o"
"12" 62857 " u"
"13" 65613 " 3"
"14" 74555 " 1"
"15" 78011 " o"
"16" 80152 " u"
"17" 82078 " q"
"18" 83151 " 1"
"19" 86690 " 3"
"20" 93155 " 2"
"21" 93778 " w"
"22" 96153 " 2"
"23" 97320 " w"
"24" 98218 " 2"
"25" 99054 " 4"
"26" 102985 " 3"
"27" 105887 " 1"
"28" 112385 " 3"
"29" 115024 " 4"
"30" 118872 " o"
"31" 120347 " u"
"32" 122392 " 3"
"33" 124322 " 1"
"34" 126085 " q"
"35" 126454 " 1"
"36" 128027 " 2"
"37" 130361 " o"
"38" 131080 " u"
"39" 131962 " w"
"40" 135644 " 2"
"41" 136806 " 1"
"42" 142607 " 4"
"43" 145027 " 3"
"44" 147567 " o"
"45" 148200 " u"
"46" 150777 " 4"
"47" 153455 " o"
"48" 154368 " u"
"49" 160707 " 3"
"50" 170448 " 2"
"51" 170841 " w"
"52" 172405 " 2"
"53" 174464 " 4"
"54" 178241 " 3"
"55" 181269 " o"
"56" 182322 " u"
"57" 187839 " 4"
"58" 191032 " o"
"59" 191547 " u"
"60" 193750 " 2"
"61" 194570 " w"
"62" 195016 " 2"
"63" 197965 " 4"
"64" 201120 " o"
"65" 203796 " u"
"66" 208095 " 3"
"67" 209476 " 4"
"68" 211032 " 2"
"69" 211832 " w"
"70" 213005 " 2"
"71" 215250 " 1"
"72" 219740 " o"
"73" 220496 " u"
"74" 225745 " o"
"75" 227290 " u"
"76" 231985 " o"
"77" 234964 " u"
"78" 237904 " q"
"79" 238590 " 1"
"80" 243078 " o"
"81" 244434 " u"
"82" 247556 " q"
"83" 250433 " 1"
"84" 252019 " q"
"85" 253401 " 1"
"86" 254305 " q"
"87" 258477 " p"
