"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","success","success.time","eating.times","cut.uncut"
"131","OC131","OC131.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",841856,58144,0.9354,0.0646,0.4336,0.1993,0.1618,0.0221,35572,355328,22466,123072,123072,478400,35572,355328,58038,154064,120464,154064,1,768974,17,FALSE,NA,0,"uncut"
"132","OC132","OC132.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",654864,116416,0.7276,0.1294,0.2549,0.2634,0.0786,0.0537,271144,27494,31826,13312,13312,40806,271144,27494,302970,23526,11550,23526,1,479840,7,TRUE,33954,2,"uncut"
"133","OC133","OC133.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",674840,0,0.7498,0,0.0793,0.0957,0.2283,0.016,144570,246552,353932,83996,83996,330548,144570,246552,498502,70774,76528,70774,0,307168,3,TRUE,268268,4,"uncut"
"134","OC134","OC134.4","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",854730,0,0.9497,0,0.3459,0.0741,0.13,0.286,75426,71942,65384,176438,71942,248380,75426,71942,140810,6726,63784,6726,0,757078,12,FALSE,NA,1,"uncut"
"135","OC135","OC135.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",670724,0,0.7452,0,0.1826,0.1232,0.0764,0.0211,198042,69486,318234,277320,69486,346806,198042,69486,516276,60484,38396,60484,0,235172,3,TRUE,102600,5,"uncut"
"137","OC137","OC137.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",769104,0,0.8546,0,0.2836,0.0198,0.1033,0.0403,458226,37768,9200,801336,37768,839104,458226,37768,467426,30248,795464,30248,0,190608,2,TRUE,127288,4,"uncut"
"138","OC138","OC138.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",866412,0,0.9627,0,0.4632,0.0951,0.0493,0.0624,209242,301028,62594,109044,109044,410072,209242,301028,271836,85180,102242,85180,0,667990,3,TRUE,728210,1,"uncut"
"140","OC140","OC140.4","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",453710,331870,0.5041,0.3687,0.0903,0.3931,0,0.0015,189840,710160,214978,98246,98246,808406,214978,98246,404818,628908,60156,60156,2,0,0,TRUE,785282,2,"uncut"
"142","OC142","OC142.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",881104,0,0.979,0,0.1724,0.1856,0.1437,0.0665,35026,44330,347474,8858,8858,53188,347474,8858,382500,42698,6074,6074,0,436422,2,TRUE,22138,1,"uncut"
"143","OC143","OC143.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",433860,370622,0.4821,0.4118,0.0449,0.0326,0.487,0.0043,208030,161088,170654,65214,65214,226302,170654,65214,378684,56978,42976,42976,1,184530,1,TRUE,74440,3,"uncut"
"144","OC144","OC144.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",734100,0,0.8157,0,0.1499,0.13,0.0358,0.1802,306162,10446,141970,221178,10446,231624,141970,221178,448132,5548,173134,173134,0,432196,7,FALSE,NA,8,"uncut"
"145","OC145","OC145.4","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",867156,16962,0.9635,0.0188,0.1752,0.2155,0.1968,0.0658,126438,205112,174046,35388,35388,240500,174046,35388,300484,204504,30870,30870,1,629126,10,TRUE,126126,2,"uncut"
