"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","time.until.lid.exploring","times.resting","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","eating.time","eating.times","time.until.eating","lid.exploring.time","lid.exploring.times","cut.uncut"
"1232","OC123","OC123.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",784622,0,NA,NA,0.8718,0,NA,0.2656,0.2611,0.0622,0.034,288006,51042,41454,16164,NA,NA,NA,NA,16164,67206,NA,NA,288006,51042,329460,48340,9890,48340,NA,0,704938,15,NA,NA,NA,NA,NA,115378,1,58146,NA,NA,"uncut"
"1242","OC124","OC124.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",787234,0,NA,NA,0.8747,0,NA,0.161,0.1036,0.0406,0.1574,400006,24092,80228,6430,NA,NA,NA,NA,6430,30522,NA,NA,400006,24092,480234,23100,3506,23100,NA,0,346904,4,NA,NA,NA,NA,NA,112766,4,42918,NA,NA,"uncut"
"1252","OC125","OC125.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",721826,0,NA,NA,0.802,0,NA,0.1902,0.3022,0.1116,0.097,220976,41628,44146,327934,NA,NA,NA,NA,41628,369562,NA,NA,220976,41628,265122,4026,186704,4026,NA,0,712306,14,NA,NA,NA,NA,NA,170512,1,48688,NA,NA,"uncut"
"1262","OC126","OC126.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",9e+05,0,NA,NA,1,0,NA,0.1844,0.337,0.1981,0.2082,42306,126096,15382,167900,NA,NA,NA,NA,126096,293996,NA,NA,15382,167900,57688,61414,7388,7388,NA,0,678818,6,NA,NA,NA,NA,NA,0,0,NA,NA,NA,"uncut"
"1272","OC127","OC127.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",859056,0,NA,NA,0.9545,0,NA,0.1511,0.2284,0.1607,0.159,53390,234236,192882,54630,NA,NA,NA,NA,54630,288866,NA,NA,192882,54630,246272,53094,53688,53688,NA,0,494566,7,NA,NA,NA,NA,NA,40944,1,102140,NA,NA,"uncut"
"1282","OC128","OC128.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",756448,0,NA,NA,0.8405,0,NA,0.0484,0.2133,0.1169,0.1582,31328,80636,362520,456648,NA,NA,NA,NA,80636,537284,NA,NA,362520,456648,393848,77536,23036,23036,NA,0,471722,6,NA,NA,NA,NA,NA,143552,1,568100,NA,NA,"uncut"
"1292","OC129","OC129.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",815396,0,NA,NA,0.906,0,NA,0.182,0.2616,0.1236,0.0351,18016,642476,335296,135522,NA,NA,NA,NA,135522,777998,NA,NA,335296,135522,353312,36758,134142,134142,NA,0,470090,7,NA,NA,NA,NA,NA,84604,1,157586,NA,NA,"uncut"
"1302","OC130","OC130.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",752574,35526,NA,NA,0.8362,0.0395,NA,0.2689,0.1565,0.1114,0.0377,20700,65818,297776,175478,NA,NA,NA,NA,65818,241296,NA,NA,297776,175478,318476,50264,69442,69442,NA,1,535770,13,NA,NA,NA,NA,NA,111900,2,150242,NA,NA,"uncut"
"1313","OC131","OC131.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",848016,51984,NA,NA,0.9422,0.0578,NA,0.1183,0.1778,0.4802,0.1014,62316,108130,32100,138304,NA,NA,NA,NA,108130,246434,NA,NA,62316,108130,94416,103546,136570,103546,NA,3,755186,32,NA,NA,NA,NA,NA,0,0,NA,NA,NA,"uncut"
"1322","OC132","OC132.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",865996,34004,NA,NA,0.9622,0.0378,NA,0.2693,0.251,0.2657,0.1412,31038,63788,33006,72016,NA,NA,NA,NA,63788,135804,NA,NA,31038,63788,64044,60484,65734,60484,NA,2,790768,17,NA,NA,NA,NA,NA,0,0,NA,NA,NA,"uncut"
"1332","OC133","OC133.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",820238,0,NA,NA,0.9114,0,NA,0.1651,0.1561,0.1347,0.1722,207358,80014,118114,24922,NA,NA,NA,NA,24922,104936,NA,NA,207358,80014,325472,72898,9200,72898,NA,0,669628,31,NA,NA,NA,NA,NA,79762,2,86962,NA,NA,"uncut"
"1341","OC134","OC134.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",677026,4662,NA,NA,0.7523,0.0052,NA,0.1915,0.071,0.0454,0.1348,459336,174068,13840,79286,NA,NA,NA,NA,79286,253354,NA,NA,459336,174068,473176,93668,74888,93668,NA,1,325552,20,NA,NA,NA,NA,NA,218312,3,189556,NA,NA,"uncut"
"1352","OC135","OC135.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",743348,0,NA,NA,0.8259,0,NA,0.145,0.114,0.1722,0.1763,299902,75094,39816,322148,NA,NA,NA,NA,75094,397242,NA,NA,299902,75094,339718,71352,319636,71352,NA,0,585788,25,NA,NA,NA,NA,NA,156652,3,84530,NA,NA,"uncut"
"1362","OC136","OC136.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",865506,0,NA,NA,0.9617,0,NA,0.2141,0.1551,0.1626,0.1225,277770,100176,24726,192766,NA,NA,NA,NA,100176,292942,NA,NA,277770,100176,302496,10552,131154,10552,NA,0,677384,33,NA,NA,NA,NA,NA,34494,4,313036,NA,NA,"uncut"
"1372","OC137","OC137.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",790348,9332,NA,NA,0.8782,0.0104,NA,0.1749,0.0926,0.153,0.1972,267774,80680,56470,150864,NA,NA,NA,NA,80680,231544,NA,NA,267774,80680,324244,59432,64968,59432,NA,1,509796,15,NA,NA,NA,NA,NA,100320,2,639444,NA,NA,"uncut"
"1382","OC138","OC138.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",631582,144546,NA,NA,0.7018,0.1606,NA,0.1849,0.0351,0.1305,0.0977,331364,152430,156408,141714,NA,NA,NA,NA,141714,294144,NA,NA,331364,152430,487772,110752,125050,110752,NA,2,436924,19,NA,NA,NA,NA,NA,123872,2,285776,NA,NA,"uncut"
"1402","OC140","OC140.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",841984,3304,NA,NA,0.9355,0.0037,NA,0.2894,0.1748,0.1649,0.1133,152894,170794,46648,319872,NA,NA,NA,NA,170794,490666,NA,NA,152894,170794,199542,46640,166348,46640,NA,1,685768,38,NA,NA,NA,NA,NA,54712,3,177256,NA,NA,"uncut"
"1411","OC141","OC141.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",696688,5672,NA,NA,0.7741,0.0063,NA,0.4153,0.0409,0.0976,0.0516,339582,91830,7944,474222,NA,NA,NA,NA,91830,566052,NA,NA,339582,91830,347526,68912,84304,68912,NA,1,459318,19,NA,NA,NA,NA,NA,197640,1,96932,NA,NA,"uncut"
"1422","OC142","OC142.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",683566,0,NA,NA,0.7595,0,NA,0.2042,0.0868,0.1169,0.0439,143302,36166,338452,166806,NA,NA,NA,NA,36166,202972,NA,NA,338452,166806,481754,24884,23376,23376,NA,0,69608,1,NA,NA,NA,NA,NA,216434,2,176400,NA,NA,"uncut"
"1432","OC143","OC143.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",790668,0,NA,NA,0.8785,0,NA,0.2131,0.1419,0.1263,0.0815,150278,61558,229512,220336,NA,NA,NA,NA,61558,281894,NA,NA,229512,220336,379790,43586,213744,213744,NA,0,613754,12,NA,NA,NA,NA,NA,109332,1,308882,NA,NA,"uncut"
"1442","OC144","OC144.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",799360,0,NA,NA,0.8882,0,NA,0.1458,0.2079,0.1246,0.0124,4670,687874,447968,68416,NA,NA,NA,NA,68416,756290,NA,NA,447968,68416,452638,5744,62368,62368,NA,0,484656,3,NA,NA,NA,NA,NA,100640,2,83312,NA,NA,"uncut"
"1452","OC145","OC145.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",781952,56592,NA,NA,0.8688,0.0629,NA,0.3053,0.1378,0.2291,0.0605,89572,148332,146178,161740,NA,NA,NA,NA,148332,310072,NA,NA,146178,161740,235750,142988,160812,160812,NA,1,591732,12,NA,NA,NA,NA,NA,61456,1,467644,NA,NA,"uncut"
"1462","OC146","OC146.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",812150,74750,NA,NA,0.9024,0.0831,NA,0.23,0.1853,0.3292,0.1202,63236,37722,26618,153074,NA,NA,NA,NA,37722,190796,NA,NA,26618,153074,89854,34864,70678,70678,NA,1,774070,19,NA,NA,NA,NA,NA,0,0,NA,NA,NA,"uncut"
"914","OC9","OC9.4","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",635184,220558,NA,NA,0.7058,0.2451,NA,0.179,0,0,0,709568,125742,0,NA,NA,NA,NA,NA,125742,NA,NA,NA,709568,125742,709568,29328,NA,29328,NA,3,0,0,NA,NA,NA,1,170793,NA,1,NA,NA,NA,"uncut"
