"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"12","OC12","OC12.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",67182,0,0.0746,0,0.0075,0.0068,0.0035,0.0072,854464,40556,3218,31196,31196,71752,854464,40556,38812,29442,38812,0,0,0,832818,1,67182,"cut"
"15","OC15","OC15.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",466908,11040,0.5188,0.0123,0.0799,0.1693,0.0457,0.1173,35700,76940,459370,91820,76940,168760,459370,91820,52476,34028,34028,2,363422,15,422052,1,477948,"cut"
"20","OC20","OC20.3","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",450388,0,0.5004,0,0.085,0.0752,0.1438,0.1601,8182,120178,461488,438512,120178,558690,461488,438512,35760,56980,56980,0,426342,14,449612,1,450388,"cut"
"21","OC21","OC21.3","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",82704,79420,0.0919,0.0882,0.0015,0.0555,0.0047,0.0238,742630,157370,50494,59404,59404,216774,742630,157370,155978,29788,155978,3,24370,2,737876,1,162124,"cut"
"22","OC22","OC22.3","Osmia cornuta","Female","Control","Yellow left","2x","Yellow","Left",74844,0,0.0832,0,0.0576,0,0,0,842402,12614,0,NA,12614,NA,842402,12614,5730,NA,5730,0,0,0,825156,1,74844,"cut"
"23","OC23","OC23.3","Osmia cornuta","Male","Treatment","Blue right","2x","Blue","Right",31016,20826,0.0345,0.0231,0,0.0066,0,0.0034,0,NA,858634,41366,41366,NA,858634,41366,NA,32322,32322,1,0,0,848158,1,51842,"cut"
"24","OC24","OC24.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",268452,28224,0.2983,0.0314,0.1051,0.1074,0.0546,0.0344,615706,125346,2680,272536,125346,397882,615706,125346,20820,73990,20820,1,247262,13,602470,1,297530,"cut"
"25","OC25","OC25.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",25896,0,0.0288,0,0.0029,0.0102,0,0,0,NA,881910,18090,18090,NA,881910,18090,10824,6300,6300,0,0,0,874104,1,25896,"cut"
"26","OC26","OC26.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",522896,0,0.581,0,0.1032,0.0584,0.204,0.0999,414912,162148,49250,129372,129372,291520,414912,162148,33924,46100,33924,0,445516,5,377104,1,522896,"cut"
"27","OC27","OC27.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",127242,0,0.1414,0,0.0735,0.0245,0.0148,0,791376,44556,1968,64482,44556,109038,791376,44556,5214,59000,5214,0,52774,2,772758,1,127242,"cut"
"28","OC28","OC28.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",275538,21154,0.3062,0.0235,0.1186,0.0312,0.088,0.0209,616964,283036,0,NA,283036,NA,616964,283036,52070,50272,52070,1,110414,5,603308,1,296692,"cut"
"29","OC29","OC29.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",69292,10148,0.077,0.0113,0.0021,0.0198,0.0268,0.0172,825232,74768,0,NA,74768,NA,825232,74768,72848,15428,72848,1,15400,1,820560,1,79440,"cut"
"31","OC31","OC31.3","Osmia cornuta","Female","Control","Blue right","2x","Blue","Right",473714,24800,0.5263,0.0276,0.1402,0.1183,0.1101,0.137,12622,76754,418558,149026,76754,225780,418558,149026,73506,49074,49074,2,398464,7,401486,1,498514,"cut"
"32","OC32","OC32.3","Osmia cornuta","Male","Control","Blue right","2x","Blue","Right",304206,720,0.338,8e-04,0.0169,0.0758,0.0167,0.0432,112258,83776,612064,230478,83776,314254,612064,230478,77504,68288,68288,1,70014,2,595074,1,304926,"cut"
"35","OC35","OC35.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",36134,22220,0.0401,0.0247,0.0065,0.0113,0,0,847654,52346,0,NA,52346,NA,847654,52346,46506,36338,46506,2,0,0,841646,1,58354,"cut"
"36","OC36","OC36.3","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",36174,0,0.0402,0,0.0034,0.0202,0,0,871000,29000,2476,21360,21360,50360,871000,29000,25926,5236,25926,0,20558,1,863826,1,36174,"cut"
"38","OC38","OC38.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",50554,0,0.0562,0,0.0044,0,0.0203,0,853232,46768,0,NA,46768,NA,853232,46768,42810,NA,42810,0,0,0,849446,1,50554,"cut"
"39","OC39","OC39.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",238054,0,0.2645,0,0.0715,0.0435,0.0596,0.058,675194,110356,3476,154708,110356,265064,675194,110356,58320,96194,58320,0,211084,5,661946,1,238054,"cut"
"40","OC40","OC40.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",38564,17804,0.0428,0.0198,0.0074,0,0,0,861278,38722,0,NA,38722,NA,861278,38722,32054,NA,32054,1,0,0,843632,1,56368,"cut"
"42","OC42","OC42.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",106654,0,0.1185,0,0.0044,0.0295,0.0147,0,801616,83546,45266,12764,12764,96310,801616,83546,81172,9370,81172,0,82554,1,793346,1,106654,"cut"
"44","OC44","OC44.3","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",37568,0,0.0417,0,0,0.0319,0,0,0,NA,864822,35178,35178,NA,864822,35178,NA,6510,6510,0,10206,1,862432,1,37568,"cut"
"45","OC45","OC45.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",80262,0,0.0892,0,0.0168,0.0058,0,0,40398,7562,833086,58598,7562,66160,833086,58598,6096,55924,55924,0,0,0,819738,1,80262,"cut"
"48","OC48","OC48.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",125412,0,0.1393,0,0.003,0.1109,0,0,780934,119066,5792,35156,35156,154222,780934,119066,116324,10708,116324,0,107986,4,774588,1,125412,"cut"
"49","OC49","OC49.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",62210,0,0.0691,0,0.0028,0.0208,0,0.0191,843952,56048,7248,43440,43440,99488,843952,56048,53536,27566,53536,0,26336,1,837790,1,62210,"cut"
"50","OC50","OC50.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",68316,0,0.0759,0,0.0067,0.0394,0,0.0029,841078,58922,7024,22922,22922,81844,841078,58922,52860,10362,52860,0,30512,1,831684,1,68316,"cut"
"51","OC51","OC51.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",28388,0,0.0315,0,0.0059,0,0.0055,0,880138,19862,0,NA,19862,NA,880138,19862,14518,NA,14518,0,0,0,871612,1,28388,"cut"
"52","OC52","OC52.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",52968,0,0.0589,0,0.0044,0,0.0054,0.0106,872006,27994,0,NA,27994,NA,872006,27994,24024,NA,24024,0,0,0,847032,1,52968,"cut"
"53","OC53","OC53.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",70026,0,0.0778,0,0.0394,0,0.0036,0.0173,838828,61172,0,NA,61172,NA,838828,61172,6858,NA,6858,0,0,0,829974,1,70026,"cut"
"54","OC54","OC54.3","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",269332,0,0.2993,0,0.0991,0.0146,0.0723,0.0848,640272,85378,0,NA,85378,NA,640272,85378,20578,66724,20578,0,174864,5,630668,1,269332,"cut"
"56","OC56","OC56.3","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",210966,0,0.2344,0,0.0115,0.1414,0,0,698314,201686,43632,22676,22676,224362,698314,201686,108036,20470,108036,0,165424,2,689034,1,210966,"cut"
"57","OC57","OC57.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",152500,0,0.1694,0,0.0432,0.0284,0.031,0.017,775422,40700,5818,104128,40700,144828,775422,40700,11040,20624,11040,0,96496,2,747500,1,152500,"cut"
"58","OC58","OC58.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",196210,0,0.218,0,0.0404,0.0192,0.0468,0.0184,760166,15234,21922,154698,15234,169932,760166,15234,11442,149460,11442,0,0,0,703790,1,196210,"cut"
"59","OC59","OC59.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",323794,0,0.3598,0,0.0678,0.0818,0.0664,0.0899,607906,27766,7196,236328,27766,264094,607906,27766,25034,66194,25034,0,305038,3,576206,1,323794,"cut"
"61","OC61","OC61.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",66296,0,0.0737,0,0,0.0063,0,0.0337,0,NA,848584,51416,51416,NA,848584,51416,NA,45702,45702,0,0,0,833704,1,66296,"cut"
"62","OC62","OC62.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",150614,0,0.1673,0,0.0152,0.0433,0,0,11770,24068,817312,46104,24068,70172,817312,46104,19758,18250,18250,0,92908,1,749386,1,150614,"cut"
"63","OC63","OC63.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",148492,0,0.165,0,0.0571,0.0073,0.0126,0.0515,8622,8364,771688,128312,8364,136676,771688,128312,4058,33964,33964,0,72752,2,751508,1,148492,"cut"
"71","OC71","OC71.3","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",526590,4822,0.5851,0.0054,0.1262,0.1276,0.1217,0.081,38152,71632,444406,82810,71632,154442,444406,82810,68812,23900,23900,2,313616,4,368588,1,531412,"cut"
"73","OC73","OC73.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",41878,0,0.0465,0,0.0046,0.0013,0,0,872980,27020,0,NA,27020,NA,872980,27020,22914,21788,22914,0,0,0,858122,1,41878,"cut"
"74","OC74","OC74.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",224940,0,0.2499,0,0.1121,0.0956,0,0,696734,11476,12334,27658,11476,39134,696734,11476,3964,24946,3964,0,184420,3,675060,1,224940,"cut"
"77","OC77","OC77.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",62780,11666,0.2661,0.0494,0.0052,0.0616,0,0,189824,46134,0,NA,46134,NA,189824,46134,44904,30364,44904,1,0,0,161512,1,74446,"cut"
"78","OC78","OC78.3","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",66620,0,0.074,0,0.0169,0.0105,0,0,850606,49394,0,NA,49394,NA,850606,49394,24768,26592,24768,0,0,0,833380,1,66620,"cut"
"79","OC79","OC79.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",179698,0,0.1997,0,0.0322,0.0728,0.008,0.0285,736734,79826,31536,15106,15106,94932,736734,79826,76994,11554,76994,0,151984,2,720302,1,179698,"cut"
"81","OC81","OC81.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",548146,0,0.6091,0,0.0387,0.0853,0.1494,0.2234,398326,233090,43628,137976,137976,371066,398326,233090,90076,132274,90076,0,491946,8,351854,1,548146,"cut"
"83","OC83","OC83.3","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",44448,0,0.0494,0,0.0031,0,0,0,887936,12064,0,NA,12064,NA,887936,12064,9304,NA,9304,0,0,0,855552,1,44448,"cut"
"84","OC84","OC84.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",19020,0,0.0211,0,0,0.0067,0,0,0,NA,887396,12604,12604,NA,887396,12604,NA,6606,6606,0,0,0,880980,1,19020,"cut"
