"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"9","OC9","OC9.3","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",878382,21618,0.976,0.024,0.0381,0.581,0,0,0,NA,308430,263918,263918,NA,0,NA,308430,168030,34382,168030,3,0,0,0,0,NA,"uncut"
"11","OC11","OC11.3","Osmia cornuta","Male","Treatment","Blue left","2x","Blue","Left",838882,0,0.9321,0,0.2385,0.124,0.198,0.1519,219902,25596,22822,162824,25596,188420,219902,25596,242724,16072,126522,16072,0,668040,4,61118,3,34266,"uncut"
"12","OC12","OC12.3","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",746302,0,0.8292,0,0.1537,0.0499,0.296,0.0712,266886,40556,99596,31196,31196,71752,266886,40556,366482,38812,29442,38812,0,525866,10,135704,3,67182,"uncut"
"13","OC13","OC13.3","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",9e+05,0,1,0,0.1713,0.1963,0.1964,0.1358,98252,53506,158468,105274,53506,158780,158468,105274,256720,19668,69238,69238,0,877110,24,0,0,NA,"uncut"
"14","OC14","OC14.3","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",418820,481180,0.4654,0.5346,0.078,0.0498,0,0.024,0,NA,709004,190996,190996,NA,0,NA,709004,54404,128194,54404,1,60250,1,0,0,NA,"uncut"
"15","OC15","OC15.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",734608,11040,0.8162,0.0123,0.3056,0.1972,0.0685,0.1266,64932,76940,172884,91820,76940,168760,172884,91820,237816,52476,34028,34028,2,631954,25,153520,1,477948,"uncut"
"19","OC19","OC19.3","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",856016,43984,0.9511,0.0489,0.2728,0.1886,0.208,0.1775,46102,143826,45802,149506,143826,293332,45802,149506,91904,112258,148244,148244,6,514008,10,0,0,NA,"uncut"
"20","OC20","OC20.3","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",895788,0,0.9953,0,0.2668,0.1152,0.1624,0.2125,169050,120178,37130,438512,120178,558690,37130,438512,206180,35760,56980,56980,0,846520,19,4212,1,450388,"uncut"
"21","OC21","OC21.3","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",710518,79420,0.7895,0.0882,0.0833,0.1146,0.0896,0.0473,486784,157370,82060,59404,59404,216774,486784,157370,568844,155978,29788,155978,3,368582,6,110062,3,162124,"uncut"
"22","OC22","OC22.3","Osmia cornuta","Female","Control","Yellow left","2x","Yellow","Left",752844,0,0.8365,0,0.3482,0.1352,0.1009,0.0627,243090,12614,68882,166778,12614,179392,243090,12614,311972,5730,164332,5730,0,575996,8,134216,5,74844,"uncut"
