"","ID","test","species","sex","experiment.type","correct.cue","speed","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","times.resting","time.until.first.quadrant","time.until.second.quadrant","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","cut.uncut"
"37","OC37","OC37.1","Osmia cornuta","Female","Control","","4x",858948,41052,0,NA,0.9544,0.0456,0,0.2628,0.149,0.3218,0.2096,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,152636,250336,778256,12,"No",0,FALSE,FALSE,NA,"uncut"
"38","OC38","OC38.1","Osmia cornuta","Male","Treatment","","2x",598272,49028,252700,187216,0.6647,0.0545,0.2808,0.1063,0.1595,0.2498,0.1448,8478,277332,3240,669434,9386,429716,1822,701390,277332,707048,1376482,2077872,1,272762,202656,219490,8,"Yes",1,TRUE,TRUE,703212,"uncut"
"39","OC39","OC39.1","Osmia cornuta","Male","Treatment","","2x",318886,14192,566922,542958,0.3543,0.0158,0.6299,0.2157,0.0015,0.0904,0.0297,5714,695478,0,NA,1992,706224,4958,824074,695478,1401702,2225776,NA,1,594320,857130,76250,6,"Yes",1,TRUE,FALSE,NA,"uncut"
"40","OC40","OC40.1","Osmia cornuta","Male","Treatment","","2x",826456,60558,10154,5020,0.9183,0.0673,0.0113,0.34,0.156,0.1764,0.2599,10988,24302,28116,96700,2458,148642,0,NA,24302,121002,269644,NA,2,17138,89448,705188,8,"Yes",1,TRUE,FALSE,NA,"uncut"
"41","OC41","OC41.1","Osmia cornuta","Male","Control","","4x",902256,0,0,NA,1,0,0,0.0785,0.5473,0.213,0.1465,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,116300,13304,866588,17,"No",0,FALSE,FALSE,NA,"uncut"
"42","OC42","OC42.1","Osmia cornuta","Male","Control","","4x",603904,296096,0,NA,0.671,0.329,0,0.5425,0.0022,0.2103,0.2307,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,5,49288,118080,369892,7,"No",0,FALSE,FALSE,NA,"uncut"
"43","OC43","OC43.1","Osmia cornuta","Male","Control","","4x",670192,229808,0,NA,0.7447,0.2553,0,0.5424,0.1366,0.2113,0.0932,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,3,14848,61096,461856,18,"No",0,FALSE,FALSE,NA,"uncut"
"44","OC44","OC44.1","Osmia cornuta","Male","Control","","4x",9e+05,0,0,NA,1,0,0,0.2837,0.5864,0.0549,0.0645,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,57896,69552,723856,8,"No",0,FALSE,FALSE,NA,"uncut"
"45","OC45","OC45.1","Osmia cornuta","Female","Treatment","","2x",665468,0,234532,234532,0.7394,0,0.2606,0.1812,0.1806,0.2049,0.1368,7988,332544,5706,533860,7032,479328,9008,246486,246486,579030,1058358,1592218,0,326136,274040,364616,7,"Yes",0,FALSE,TRUE,533860,"uncut"
"46","OC46","OC46.1","Osmia cornuta","Female","Treatment","","2x",514066,0,385934,383890,0.5712,0,0.4288,0.005,0.2137,0.022,0.3116,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,888128,534606,0,0,"Yes",1,TRUE,FALSE,NA,"uncut"
"47","OC47","OC47.1","Osmia cornuta","Female","Treatment","","2x",880644,0,19356,7012,0.9785,0,0.0215,0.3126,0.2382,0.2465,0.0884,21644,755040,37586,173636,17416,70380,0,NA,70380,244016,999056,NA,0,89310,164872,675046,8,"Yes",1,TRUE,FALSE,NA,"uncut"
"48","OC48","OC48.1","Osmia cornuta","Female","Control","","2x",242760,169004,0,NA,0.5395,0.3756,0,0.6793,0.0557,0.0049,0.249,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,4,5008,90178,214870,6,"No",0,FALSE,FALSE,NA,"uncut"
"49","OC49","OC49.1","Osmia cornuta","Male","Control","","4x",582164,317836,0,NA,0.6468,0.3532,0,0.2293,0.0824,0.4966,0.0339,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,3,144852,289984,451988,9,"No",0,FALSE,FALSE,NA,"uncut"
"50","OC50","OC50.1","Osmia cornuta","Male","Control","","4x",314176,585824,0,NA,0.3491,0.6509,0,0.0118,0.8962,0.0276,0.0104,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,864556,48560,112120,4,"No",0,FALSE,FALSE,NA,"uncut"
"51","OC51","OC51.1","Osmia cornuta","Male","Treatment","","4x",512444,386732,0,NA,0.5694,0.4297,0,0.5712,0.2402,0.0792,0.092,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,44156,23520,456012,9,"No",0,FALSE,FALSE,NA,"uncut"
"52","OC52","OC52.1","Osmia cornuta","Male","Treatment","","2x",593918,0,306082,293938,0.6599,0,0.3401,0.1948,0.1505,0.1303,0.0773,7072,483916,10338,589136,35822,333454,11116,451538,333454,784992,1268908,1858044,0,305424,552426,376558,14,"Yes",1,TRUE,TRUE,589136,"uncut"
"53","OC53","OC53.1","Osmia cornuta","Male","Treatment","","2x",266020,476008,157972,120896,0.2956,0.5289,0.1755,0.6544,0.0358,0.0414,0.026,10592,661552,4088,726372,1990,688164,0,849158,661552,1349716,2076088,2925246,1,136384,725218,0,0,"Yes",2,TRUE,TRUE,849158,"uncut"
"54","OC54","OC54.1","Osmia cornuta","Male","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"55","OC55","OC55.1","Osmia cornuta","Male","Treatment","","2x",397810,498782,3408,3408,0.442,0.5542,0.0038,0.0125,0.6164,0.0023,0,0,NA,212322,146558,0,NA,0,NA,146558,NA,NA,NA,8,121602,132892,0,0,"Yes",0,FALSE,FALSE,NA,"uncut"
"56","OC56","OC56.1","Osmia cornuta","Male","Control","","4x",553592,344592,0,NA,0.6151,0.3829,0,0.6446,0.0572,0.0695,0.1962,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,29176,41548,449816,5,"No",0,FALSE,FALSE,NA,"uncut"
"57","OC57","OC57.1","Osmia cornuta","Female","Control","","4x",852416,47584,0,NA,0.9471,0.0529,0,0.3177,0.1842,0.372,0.0517,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,67008,86168,830152,14,"No",0,FALSE,FALSE,NA,"uncut"
"58","OC58","OC58.1","Osmia cornuta","Female","Treatment","","2x",205258,0,694742,694742,0.2281,0,0.7719,0.1111,0.0758,0.005,0.0117,2378,707844,11170,807936,0,NA,0,NA,707844,1515780,NA,NA,0,705422,703246,186556,7,"Yes",0,FALSE,FALSE,NA,"uncut"
"59","OC59","OC59.1","Osmia cornuta","Female","Treatment","","2x",293764,0,606236,558060,0.3264,0,0.6736,0.08,0.0596,0.1083,0.0527,4144,627292,3716,685884,4290,751372,2160,693518,627292,1313176,2006694,2758066,0,626028,590750,214546,9,"Yes",1,TRUE,TRUE,753614,"uncut"
"60","OC60","OC60.1","Osmia cornuta","Female","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"61","OC61","OC61.1","Osmia cornuta","Female","Treatment","","2x",385486,33900,480614,359038,0.4283,0.0377,0.534,0.2033,0.0488,0.1263,0.0453,2804,480686,3686,511866,19372,364694,7742,458080,364694,822774,1303460,1815326,1,387848,501790,141872,6,"Yes",1,TRUE,FALSE,NA,"uncut"
"62","OC62","OC62.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.1919,0.2559,0.3868,0.1574,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,68892,106608,851192,7,"No",0,FALSE,FALSE,NA,"uncut"
"63","OC63","OC63.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.2558,0.226,0.3662,0.1377,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,123828,123848,860404,21,"No",0,FALSE,FALSE,NA,"uncut"
"64","OC64","OC64.1","Osmia cornuta","Female","Control","","4x",856872,43128,0,NA,0.9521,0.0479,0,0.2604,0.198,0.2539,0.2296,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,95544,193696,820744,16,"No",0,FALSE,FALSE,NA,"uncut"
"65","OC65","OC65.1","Osmia cornuta","Male","Control","","4x",872572,27428,0,NA,0.9695,0.0305,0,0.3889,0.1181,0.4056,0.0603,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,46844,77044,637032,1,"No",0,FALSE,FALSE,NA,"uncut"
"66","OC66","OC66.1","Osmia cornuta","Female","Treatment","","2x",220962,390700,288338,270822,0.2455,0.4341,0.3204,0.0253,0.5637,0.0255,0.0051,0,NA,0,NA,12118,849408,0,NA,849408,NA,NA,NA,1,276472,290410,0,0,"Yes",3,TRUE,FALSE,NA,"uncut"
"67","OC67","OC67.1","Osmia cornuta","Male","Treatment","","2x",886402,0,13598,2166,0.9849,0,0.0151,0.2193,0.2611,0.2063,0.1898,17108,171340,23562,130716,15754,91862,27488,26856,26856,118718,249434,420774,0,15186,18330,508238,18,"Yes",1,TRUE,TRUE,171910,"uncut"
"68","OC68","OC68.1","Osmia cornuta","Male","Treatment","","2x",87546,0,812454,812454,0.0973,0,0.9027,0.0124,0,0.0233,0.0113,0,NA,0,NA,41806,858194,0,NA,858194,NA,NA,NA,0,827276,NA,0,0,"Yes",0,FALSE,FALSE,NA,"uncut"
"70","OC70","OC70.1","Osmia cornuta","Female","Treatment","","2x",884630,0,15370,2308,0.9829,0,0.0171,0.2778,0.2155,0.3043,0.0962,31864,68188,18650,56004,8970,233720,8942,159990,56004,124192,284182,517902,0,64520,6548,367314,8,"Yes",1,TRUE,TRUE,234922,"uncut"
"71","OC71","OC71.1","Osmia cornuta","Female","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"72","OC72","OC72.1","Osmia cornuta","Female","Treatment","","2x",275112,0,624888,505164,0.3057,0,0.6943,0.0444,0.0776,0.1128,0.0304,7102,611420,3420,530906,892,856350,2970,585194,530906,1116100,1727520,2583870,0,522202,521456,142090,6,"Yes",1,TRUE,TRUE,857242,"uncut"
"73","OC73","OC73.1","Osmia cornuta","Female","Treatment","","2x",697176,0,202824,5780,0.7746,0,0.2254,0.1726,0.191,0.1755,0.1495,7090,149060,27504,116084,27246,9206,11266,90918,9206,100124,216208,365268,0,59972,46964,256288,12,"Yes",1,TRUE,TRUE,149060,"uncut"
"74","OC74","OC74.1","Osmia cornuta","Female","Treatment","","2x",237206,0,662794,662794,0.2636,0,0.7364,0.1514,0.0289,0,0.0384,22278,764308,7662,690228,0,NA,1696,708692,690228,1398920,2163228,NA,0,673204,671508,148942,3,"Yes",0,FALSE,FALSE,NA,"uncut"
"75","OC75","OC75.1","Osmia cornuta","Female","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"76","OC76","OC76.1","Osmia cornuta","Male","Control","","4x",358920,541080,0,NA,0.3988,0.6012,0,0.0459,0.0206,0.6808,0.2152,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,63088,104428,127324,3,"No",0,FALSE,FALSE,NA,"uncut"
"77","OC77","OC77.1","Osmia cornuta","Male","Control","","4x",9e+05,0,0,NA,1,0,0,0.451,0.1133,0.2648,0.161,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,119892,156272,879980,11,"No",0,FALSE,FALSE,NA,"uncut"
"78","OC78","OC78.1","Osmia cornuta","Male","Treatment","","4x",847440,51320,0,NA,0.9416,0.057,0,0.3558,0.1665,0.3165,0.1397,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,43508,118744,758256,13,"No",0,FALSE,FALSE,NA,"uncut"
"79","OC79","OC79.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.4412,0.379,0.1304,0.0323,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,15440,47264,832708,19,"No",0,FALSE,FALSE,NA,"uncut"
"81","OC81","OC81.1","Osmia cornuta","Female","Control","","4x",633780,266220,0,NA,0.7042,0.2958,0,0.1518,0.6602,0.1326,0.0466,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,7868,58288,490284,10,"No",0,FALSE,FALSE,NA,"uncut"
"82","OC82","OC82.1","Osmia cornuta","Female","Control","","4x",703844,196156,0,NA,0.782,0.218,0,0.2912,0.0804,0.201,0.354,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,66004,89976,652120,22,"No",0,FALSE,FALSE,NA,"uncut"
"83","OC83","OC83.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.2175,0.2013,0.4052,0.1597,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,14700,123720,882604,7,"No",0,FALSE,FALSE,NA,"uncut"
"84","OC84","OC84.1","Osmia cornuta","Female","Treatment","","2x",259578,0,640422,640422,0.2884,0,0.7116,0.0936,0.0706,0.0478,0.0382,6584,694514,12470,668834,5632,646538,1978,742280,646538,1315372,2009886,2752166,0,678448,666574,94278,6,"Yes",0,FALSE,TRUE,742622,"uncut"
"85","OC85","OC85.1","Osmia cornuta","Female","Treatment","","2x",865022,0,22852,7324,0.9611,0,0.0254,0.22,0.2013,0.1753,0.203,27908,132882,96760,11002,4934,406084,19272,48158,11002,59160,192042,598126,0,70078,7324,526544,8,"Yes",1,TRUE,TRUE,406084,"uncut"
"86","OC86","OC86.1","Osmia cornuta","Female","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"87","OC87","OC87.1","Osmia cornuta","Female","Treatment","","2x",720936,0,179064,59068,0.801,0,0.199,0.1631,0.2502,0.1701,0.1496,11032,107724,23698,173526,10078,292274,5294,90346,90346,198070,371596,663870,0,96300,157478,457628,13,"Yes",3,TRUE,TRUE,292274,"uncut"
"88","OC88","OC88.1","Osmia cornuta","Female","Treatment","","2x",773968,0,89090,5044,0.86,0,0.099,0.2021,0.2293,0.2091,0.0931,50994,20204,52546,48670,39228,35020,4126,448374,20204,55224,103894,552268,0,18104,5044,366924,13,"Yes",2,TRUE,TRUE,448374,"uncut"
"89","OC89","OC89.1","Osmia cornuta","Female","Treatment","","2x",784570,38838,58472,4648,0.8717,0.0432,0.065,0.1259,0.2639,0.2711,0.0893,23952,217814,50318,120074,72880,25136,7598,286094,25136,145210,363024,649118,2,30570,119554,299630,14,"Yes",1,TRUE,TRUE,287974,"uncut"
"90","OC90","OC90.1","Osmia cornuta","Female","Treatment","","2x",190252,0,709748,709748,0.2114,0,0.7886,0.0581,0.0155,0.1036,0.0139,7534,761930,3392,811942,2810,794876,0,NA,761930,1556806,2368748,NA,0,758012,809422,93892,5,"Yes",0,FALSE,FALSE,NA,"uncut"
"91","OC91","OC91.1","Osmia cornuta","Female","Treatment","","2x",709086,0,190914,137634,0.7879,0,0.2121,0.1882,0.1946,0.1324,0.1889,5374,231204,47102,212274,4414,205890,11396,239826,205890,418164,649368,889194,0,140914,187618,317950,13,"Yes",1,TRUE,FALSE,NA,"uncut"
"92","OC92","OC92.1","Osmia cornuta","Female","Control","","4x",641100,258900,0,NA,0.7123,0.2877,0,0.0953,0.1343,0.6826,0.0805,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,4,6508,358284,353468,5,"No",0,FALSE,FALSE,NA,"uncut"
"93","OC93","OC93.1","Osmia cornuta","Female","Control","","4x",808864,91136,0,NA,0.8987,0.1013,0,0.5866,0.1101,0.1233,0.1717,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,80112,56780,758368,10,"No",0,FALSE,FALSE,NA,"uncut"
"94","OC94","OC94.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.2619,0.5114,0.0511,0.17,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,121004,5100,879508,15,"No",0,FALSE,FALSE,NA,"uncut"
"95","OC95","OC95.1","Osmia cornuta","Female","Control","","4x",806120,88628,0,NA,0.8957,0.0985,0,0.3299,0.2326,0.1447,0.2444,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,43500,86060,800528,15,"No",0,FALSE,FALSE,NA,"uncut"
"96","OC96","OC96.1","Osmia cornuta","Female","Control","","4x",9e+05,0,0,NA,1,0,0,0.2503,0.242,0.2427,0.2481,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,71752,143784,452400,2,"No",0,FALSE,FALSE,NA,"uncut"
"97","OC97","OC97.1","Osmia cornuta","Female","Treatment","","2x",0,0,9e+05,9e+05,0,0,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,"No",0,FALSE,FALSE,NA,"uncut"
"98","OC98","OC98.1","Osmia cornuta","Male","Treatment","","2x",776322,0,33022,5436,0.8626,0,0.0367,0.2753,0.1632,0.2076,0.1541,56062,141212,11680,68302,13296,176798,15910,199710,68302,209514,386312,586022,0,56412,51534,314064,3,"Yes",1,TRUE,TRUE,200462,"uncut"
"99","OC99","OC99.1","Osmia cornuta","Male","Treatment","","2x",696078,16912,187010,3954,0.7734,0.0188,0.2078,0.1936,0.2069,0.1541,0.1067,10498,210626,6048,56274,9074,145938,78130,298290,56274,202212,412838,711128,1,8900,29730,219210,10,"Yes",4,TRUE,FALSE,NA,"uncut"
