"","ID","test","species","sex","experiment.type","correct.cue","speed","activity.time","inactivity.time","refuge.time","getting.out.refuge.time","activity.prop","inactivity.prop","refuge.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","third.cue.time","time.until.third.cue","fourth.cue.time","time.until.fourth.cue","touch.1.cue","touch.2.cues","touch.3.cues","touch.4.cues","times.resting","time.until.first.quadrant","time.until.second.quadrant","escape.time","escape.attemps","refuge.exit","refuge.enter.times","refuge.re.enter","success","success.time","cut.uncut"
"119","OC119","OC119.1","Osmia cornuta","Male","Control","","2x",450000,0,0,NA,1,0,0,0.3722,0.2249,0.194,0.2044,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,94562,15200,429754,2,"No",0,FALSE,FALSE,NA,"uncut"
"120","OC120","OC120.1","Osmia cornuta","Female","Control","","4x",824200,75800,0,NA,0.9158,0.0842,0,0.0793,0.6864,0.1941,0.0014,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,207428,131608,654100,5,"No",0,FALSE,FALSE,NA,"uncut"
"121","OC121","OC121.1","Osmia cornuta","Female","Control","","2x",450000,0,0,NA,1,0,0,0.2543,0.2145,0.1719,0.2416,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,55236,52966,387182,18,"No",0,FALSE,FALSE,NA,"uncut"
"122","OC122","OC122.1","Osmia cornuta","Female","Control","","4x",479720,420280,0,NA,0.533,0.467,0,0.7809,0.1237,0.0226,0.0544,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,2,34576,68572,215148,1,"No",0,FALSE,FALSE,NA,"uncut"
"123","OC123","OC123.1","Osmia cornuta","Male","Control","","4x",9e+05,0,0,NA,1,0,0,0.1162,0.3836,0.2896,0.2041,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,56144,5904,821904,8,"No",0,FALSE,FALSE,NA,"uncut"
"124","OC124","OC124.1","Osmia cornuta","Male","Control","","4x",9e+05,0,0,NA,1,0,0,0.1845,0.2249,0.281,0.2858,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,22440,21500,851140,8,"No",0,FALSE,FALSE,NA,"uncut"
"125","OC125","OC125.1","Osmia cornuta","Male","Control","","4x",9e+05,0,0,NA,1,0,0,0.3553,0.23,0.3269,0.032,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,50244,54176,800616,11,"No",0,FALSE,FALSE,NA,"uncut"
"126","OC126","OC126.1","Osmia cornuta","Female","Treatment","","2x",758520,0,141480,141480,0.8428,0,0.1572,0.1925,0.2079,0.2414,0.1434,6162,262624,21724,235888,12370,243700,7960,210906,210906,446794,690494,953118,0,261800,235310,344182,19,"Yes",0,FALSE,TRUE,262624,"uncut"
"127","OC127","OC127.1","Osmia cornuta","Female","Treatment","","2x",867674,12132,20194,20194,0.9641,0.0135,0.0224,0.3765,0.2146,0.1666,0.1045,23056,102190,49360,137626,18624,120826,1974,424746,102190,223016,360642,785388,1,29026,136172,279472,13,"Yes",0,FALSE,TRUE,424746,"uncut"
"128","OC128","OC128.1","Osmia cornuta","Female","Treatment","","2x",861914,0,38086,25916,0.9577,0,0.0423,0.2695,0.2144,0.2428,0.1263,8366,161486,18224,151616,25250,74876,2912,614080,74876,226492,387978,1002058,0,112112,113694,548230,16,"Yes",1,TRUE,TRUE,614080,"uncut"
