"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","total.cue.time","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"53","OC53","OC53.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",789132,0,0.8768,0,0.218,0.1518,0.1246,0.0775,361668,55358,11202,381662,55358,437020,361668,55358,372870,31262,23070,31262,0,552142,18,110868,3,121452,"uncut"
"54","OC54","OC54.2","Osmia cornuta","Male","Treatment","Yellow left","2x","Yellow","Left",0,9e+05,0,1,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,1,0,0,0,0,NA,"uncut"
"56","OC56","OC56.2","Osmia cornuta","Male","Control","Yellow left","2x","Yellow","Left",248174,0,0.2757,0,0.1423,0.1135,0.0309,0.0015,625878,27612,6386,10254,10254,37866,625878,27612,632264,25804,8268,25804,0,99600,2,616706,2,116140,"uncut"
"57","OC57","OC57.2","Osmia cornuta","Female","Control","Yellow left","2x","Yellow","Left",769880,12200,0.8554,0.0136,0.1303,0.1358,0.1316,0.1125,283850,88808,134982,326756,88808,415564,283850,88808,418832,50270,46606,50270,1,447748,6,117920,2,157244,"uncut"
"58","OC58","OC58.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",680318,0,0.7559,0,0.2554,0.0445,0.1048,0.0134,461538,17866,57170,680476,17866,698342,461538,17866,518708,16396,4860,16396,0,275700,3,219682,2,52860,"uncut"
"59","OC59","OC59.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",775894,0,0.8621,0,0.19,0.1522,0.2243,0.239,148838,117446,19618,40364,40364,157810,148838,117446,168456,46734,38060,46734,0,748556,16,124106,1,775894,"uncut"
"60","OC60","OC60.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",9e+05,0,1,0,0.3677,0.2437,0.1481,0.0978,78480,66734,42058,282812,66734,349546,78480,66734,120538,34830,93210,34830,0,767592,12,0,0,NA,"uncut"
"61","OC61","OC61.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",663558,235342,0.7373,0.2615,0.5355,0.1331,0.1658,0.0503,36746,44322,40868,27906,27906,72228,36746,44322,77614,42522,26082,42522,2,622302,10,0,0,NA,"uncut"
"62","OC62","OC62.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",660932,0,0.7344,0,0.2338,0.1658,0.0713,0.0934,346040,41844,39236,194982,41844,236826,346040,41844,385276,6890,135894,6890,0,480866,5,239068,2,633166,"uncut"
"63","OC63","OC63.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",870886,29114,0.9677,0.0323,0.2573,0.1725,0.1571,0.2084,75250,158030,53378,104614,104614,262644,75250,158030,128628,70872,55668,70872,1,703410,19,0,0,NA,"uncut"
"64","OC64","OC64.2","Osmia cornute","Female","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.2894,0.3351,0.0964,0.2106,19924,221086,35986,57674,57674,278760,19924,221086,55910,159102,48666,159102,0,880102,9,0,0,NA,"uncut"
"65","OC65","OC65.2","Osmia cornuta","Male","Control","Blue left","2x","Blue","Left",9e+05,0,1,0,0.3627,0.1778,0.1509,0,162324,144312,82226,588592,144312,732904,162324,144312,244550,33258,347984,33258,0,714024,6,0,0,NA,"uncut"
"67","OC67","OC67.2","Osmia cornuta","Male","Treatment","Blue right","2x","Blue","Right",9e+05,0,1,0,0.2565,0.2542,0.2586,0.1756,24638,70480,4688,751746,70480,822226,4688,751746,29326,24400,33696,33696,0,818928,24,0,0,NA,"uncut"
"70","OC70","OC70.2","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",760502,139498,0.845,0.155,0.1899,0.3641,0.2704,0.0072,31802,196290,108728,50728,50728,247018,108728,50728,140530,193864,10932,10932,1,604166,7,0,0,NA,"uncut"
"71","OC71","OC71.2","Osmia cornuta","Female","Treatment","Blue right","2x","Blue","Right",607832,135006,0.6754,0.15,0.1832,0.2071,0.0866,0.1056,141770,21778,212968,241442,21778,263220,212968,241442,354738,21064,213666,213666,1,512540,17,156230,2,298818,"uncut"
"73","OC73","OC73.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",670626,0,0.7451,0,0.1995,0.1114,0.1081,0.1009,374104,17438,54626,6520,6520,23958,374104,17438,428730,14772,3312,14772,0,453558,21,229374,4,21820,"uncut"
"74","OC74","OC74.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",709490,0,0.7883,0,0.212,0.0544,0.1627,0.0615,403158,4760,52908,35416,4760,40176,403158,4760,456066,2278,30488,2278,0,341114,3,190510,1,98954,"uncut"
"75","OC75","OC75.2","Osmia cornuta","Female","Treatment","Blue left","2x","Blue","Left",685092,214908,0.7612,0.2388,0.27,0.0501,0.4296,0.0121,168480,227420,0,NA,227420,NA,168480,227420,168480,131430,173588,131430,2,237152,1,0,0,NA,"uncut"
