"","ID","test","species","sex","experiment.type","correct.cue","speed","color","side","activity.time","inactivity.time","activity.prop","inactivity.prop","first.quadrant.prop","second.quadrant.prop","third.quadrant.prop","fourth.quadrant.prop","first.cue.time","time.until.first.cue","second.cue.time","time.until.second.cue","touch.1.cue","touch.2.cues","correct.cue.time","time.until.correct.cue","time.until.first.quadrant","time.until.second.quadrant","time.until.correct.quadrant","times.resting","escape.time","escape.attemps","eating.time","eating.times","time.until.eating","cut.uncut"
"115","OC115","OC115.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",134622,1008,0.1496,0.0011,0.0519,0.0012,0.0242,0.0452,3200,55422,770898,129102,55422,184524,770898,129102,52398,127998,127998,1,58864,4,764370,1,135630,"cut"
"127","OC127","OC127.2","Osmia cornuta","Female","Treatment","Yellow right","2x","Yellow","Right",251038,0,0.2789,0,0.1319,0.0169,0.0611,0.0302,11552,64012,659838,94112,64012,158124,659838,94112,49294,69768,69768,0,164930,1,648962,1,251038,"cut"
"129","OC129","OC129.2","Osmia cornuta","Male","Treatment","Yellow right","2x","Yellow","Right",630292,0,0.7003,0,0.2246,0.2426,0.0085,0.1523,26448,30084,291982,53572,30084,83656,291982,53572,16404,53080,53080,0,358416,6,269708,1,630292,"cut"
"133","OC133","OC133.2","Osmia cornuta","Female","Control","Yellow right","2x","Yellow","Right",168328,0,0.187,0,0,0.0057,0.0089,0.0391,0,NA,821608,78392,78392,NA,821608,78392,NA,73256,73256,0,0,0,731672,1,168328,"cut"
"136","OC136","OC136.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",516954,0,0.5744,0,0.1652,0.0378,0.1316,0.1169,404164,164156,20276,187556,164156,351712,404164,164156,104140,186310,104140,0,410980,14,383046,1,516954,"cut"
"140","OC140","OC140.2","Osmia cornuta","Female","Treatment","Yellow left","2x","Yellow","Left",645884,0,0.7176,0,0.189,0.0879,0.1032,0.1539,320006,236554,35006,131546,131546,368100,320006,236554,140586,128506,140586,0,487986,7,254116,1,645884,"cut"
"142","OC142","OC142.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",132616,0,0.1474,0,0.0248,0.0396,0.0083,0.0267,783614,57782,2350,108200,57782,165982,783614,57782,48058,38470,48058,0,104584,2,767384,1,132616,"cut"
"143","OC143","OC143.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",143576,0,0.1595,0,0.0655,0.0092,0.0043,0.0157,794088,30484,0,NA,30484,NA,794088,30484,20658,21614,20658,0,61066,1,756424,1,143576,"cut"
"144","OC144","OC144.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",164994,0,0.1833,0,0.0031,0.0983,0.0019,0.0086,783412,116588,5914,19050,19050,135638,783412,116588,113832,16848,113832,0,133542,4,735006,1,164994,"cut"
"145","OC145","OC145.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",260576,0,0.2895,0,0.0957,0.0546,0.0502,0.061,643432,241984,1142,208620,208620,450604,643432,241984,20108,161418,20108,0,155818,5,639424,1,260576,"cut"
"146","OC146","OC146.2","Osmia cornuta","Female","Control","Blue left","2x","Blue","Left",367662,27094,0.4085,0.0301,0.0856,0,0.1313,0.0723,600300,54828,0,NA,54828,NA,600300,54828,42570,NA,42570,1,288632,6,505244,1,394756,"cut"
