FirstLineOfData=25
#-----------------------------------------------------------
# Name: OC11.3.dat
# Format: Focal Data File 1.0
# Updated: Fri Jul 07 08:21:17 CEST 2017
#-----------------------------------------------------------
 
FocalMasterFile=D:/JWatcher/Datos/FU Experiments.fmf
 
# Observation started: Fri Jul 07 08:13:28 CEST 2017
StartTime=1499408008835
# Observation stopped: Fri Jul 07 08:20:58 CEST 2017
StopTime=1499408458835
 
Answer.1=OC11.3
Answer.2=Osmia cornuta
Answer.3=Male
Answer.4=Treatment
Answer.5=Blue left
Answer.6=2x
 
 
 
#BEGIN DATA
0, u
8036, 1
12798, q
17133, p
43293, u
60109, 1
60989, q
61732, 1
63261, 2
67077, 4
67684, 2
69605, 4
70485, o
71341, u
75221, 3
77500, 4
80397, 2
81412, w
82300, 2
85269, 4
88613, 3
92773, 1
96092, o
96788, u
100749, q
106589, p
109525, u
115269, p
116732, u
119373, 1
122876, q
123741, 1
125188, 3
127349, 4
130308, 2
131789, 1
134237, 3
136892, 1
137828, q
145549, 1
146156, 2
146700, w
147701, 2
149533, 4
152084, o
152613, u
155597, 3
156284, 1
157413, q
161997, 1
167164, q
171893, 1
175805, 2
176884, w
177605, 2
180189, 4
182069, 3
187701, 1
188789, 2
190212, w
190413, 2
194188, 4
199964, 3
202893, 1
207717, 2
212164, 4
217389, 3
227845, 1
229670, q
239869, 1
241189, q
241573, 1
242972, 2
244029, 4
245589, 2
246868, 1
247773, 3
252460, 1
263285, 2
264268, w
266021, 2
268005, w
268877, 2
270308, 4
272453, 3
275309, 1
279404, q
280805, 1
281717, 2
282052, w
282668, 2
284294, 4
287573, 3
290772, 1
291573, q
292876, 1
295924, 2
299877, 4
303645, 3
304773, 1
309692, 2
310404, w
310765, 2
312485, 4
315005, 3
318309, 1
320229, q
323708, 1
324933, 3
326525, o
327677, u
330358, 1
332876, 2
333556, w
336500, 3
337908, 1
343373, 2
347548, 4
351357, 3
367100, 1
368548, q
368788, 1
371765, 2
372709, w
373093, 2
375420, 4
379149, 3
383397, 1
384509, q
387893, 1
392013, q
392348, 1
394276, 2
394885, 1
395565, q
398078, 1
398820, 3
399965, 4
401788, 3
407332, 4
412189, 3
413908, 1
414909, q
415165, 1
418708, q
418989, 1
419892, 2
420502, w
421109, 2
422436, 4
424852, 3
428180, 1
428733, q
429812, 1
431709, 2
432030, w
433093, 2
434909, 4
439005, 3
443397, 1
444764, q
445284, 1
448957, 2
450000, EOF
