ID,Genus,Species,Sex,Place,Date,IT,Weigth (g),Head weight (g),Plant,Brain Weight (mg),No optic lobes weight,Notes
OC74,Osmia,Osmia cornuta,Female,Mauerbienen,,3.553,,,,,0.835,
OC75,Osmia,Osmia cornuta,Female,Mauerbienen,,3.596,,,,1.885,1.028,
OC76,Osmia,Osmia cornuta,Male,Mauerbienen,,2.873,,,,1.223,0.611,
OC77,Osmia,Osmia cornuta,Male,Mauerbienen,,2.812,,,,1.874,0.83,
OC78,Osmia,Osmia cornuta,Male,Mauerbienen,,2.838,,,,1.695,,
OC79,Osmia,Osmia cornuta,Female,Mauerbienen,,3.242,,,,1.506,,
OC80,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC81,Osmia,Osmia cornuta,Female,Mauerbienen,,3.372,,,,,,
OC82,Osmia,Osmia cornuta,Female,Mauerbienen,,3.343,,,,1.594,0.823,
OC83,Osmia,Osmia cornuta,Female,Mauerbienen,,3.557,,,,1.668,0.828,
OC84,Osmia,Osmia cornuta,Female,Mauerbienen,,3.566,,,,1.531,0.82,
OC85,Osmia,Osmia cornuta,Female,Mauerbienen,,3.718,,,,1.387,0.753,
OC86,Osmia,Osmia cornuta,Female,Mauerbienen,,3.259,,,,,,
OC87,Osmia,Osmia cornuta,Female,Mauerbienen,,3.633,,,,1.73,0.922,
OC88,Osmia,Osmia cornuta,Female,Mauerbienen,,3.608,,,,,,
OC89,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC90,Osmia,Osmia cornuta,Female,Mauerbienen,,3.628,,,,1.813,0.684,
OC91,Osmia,Osmia cornuta,Female,Mauerbienen,,3.304,,,,1.587,0.824,
OC92,Osmia,Osmia cornuta,Female,Mauerbienen,,3.558,,,,,,
OC93,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,2.304,0.822,
OC94,Osmia,Osmia cornuta,Female,Mauerbienen,,3.73,,,,2.388,0.802,
OC95,Osmia,Osmia cornuta,Female,Mauerbienen,,3.806,,,,1.707,0.945,
OC96,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC97,Osmia,Osmia cornuta,Female,Mauerbienen,,3.668,,,,1.73,0.849,
OC98,Osmia,Osmia cornuta,Male,Mauerbienen,,3.082,,,,1.449,0.705,
OC99,Osmia,Osmia cornuta,Male,Mauerbienen,,2.911,,,,1.221,0.615,
OC100,Osmia,Osmia cornuta,Male,Mauerbienen,,3.101,,,,1.506,0.589,
OC101,Osmia,Osmia cornuta,Female,Mauerbienen,,3.413,,,,,,
OC102,Osmia,Osmia cornuta,Female,Mauerbienen,,3.115,,,,1.322,0.572,
OC103,Osmia,Osmia cornuta,Male,Mauerbienen,,3.036,,,,1.675,0.877,
OC104,Osmia,Osmia cornuta,Female,Mauerbienen,,3.198,,,,1.332,0.161,
OC105,Osmia,Osmia cornuta,Female,Mauerbienen,,3.704,,,,2.388,1.136,
OC106,Osmia,Osmia cornuta,Female,Mauerbienen,,3.567,,,,1.981,0.877,
OC107,Osmia,Osmia cornuta,Female,Mauerbienen,,3.719,,,,1.875,0.784,
OC108,Osmia,Osmia cornuta,Female,Mauerbienen,,3.544,,,,1.974,0.936,
OC109,Osmia,Osmia cornuta,Female,Mauerbienen,,3.659,,,,1.998,1.032,
OC110,Osmia,Osmia cornuta,Female,Mauerbienen,,3.775,,,,2.09,0.949,
OC111,Osmia,Osmia cornuta,Female,Mauerbienen,,3.244,,,,1.736,0.935,
OC112,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,1.945,0.984,
OC113,Osmia,Osmia cornuta,Female,Mauerbienen,,3.368,,,,1.835,0.974,
OC114,Osmia,Osmia cornuta,Male,Mauerbienen,,3.045,,,,1.5,0.888,
OC115,Osmia,Osmia cornuta,Female,Mauerbienen,,3.379,,,,1.932,0.989,
OC116,Osmia,Osmia cornuta,Female,Mauerbienen,,3.605,,,,2.102,0.977,
OC117,Osmia,Osmia cornuta,Female,Mauerbienen,,3.447,,,,1.998,0.823,
OC118,Osmia,Osmia cornuta,Female,Mauerbienen,,3.855,,,,2.072,0.978,
OC119,Osmia,Osmia cornuta,Male,Mauerbienen,,2.785,,,,1.566,0.64,
OC120,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC121,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC122,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC123,Osmia,Osmia cornuta,Male,Mauerbienen,,3.331,,,,1.988,0.988,
OC124,Osmia,Osmia cornuta,Male,Mauerbienen,,2.978,,,,1.746,0.819,
OC125,Osmia,Osmia cornuta,Male,Mauerbienen,,3.196,,,,1.589,0.948,
OC126,Osmia,Osmia cornuta,Female,Mauerbienen,,3.577,,,,,,
OC127,Osmia,Osmia cornuta,Female,Mauerbienen,,3.552,,,,,,
OC128,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC129,Osmia,Osmia cornuta,Male,Mauerbienen,,3.18,,,,,0.783,
OC130,Osmia,Osmia cornuta,Male,Mauerbienen,,3.399,,,,2.216,0.98,
OC131,Osmia,Osmia cornuta,Female,Mauerbienen,,3.69,,,,2.816,1.32,
OC132,Osmia,Osmia cornuta,Female,Mauerbienen,,3.805,,,,2.314,1.208,
OC133,Osmia,Osmia cornuta,Female,Mauerbienen,,3.597,,,,1.839,0.684,
OC134,Osmia,Osmia cornuta,Female,Mauerbienen,,3.95,,,,1.579,0.809,
OC135,Osmia,Osmia cornuta,Female,Mauerbienen,,3.792,,,,2.356,1.258,
OC136,Osmia,Osmia cornuta,Female,Mauerbienen,,4.053,,,,2.583,1.144,
OC137,Osmia,Osmia cornuta,Female,Mauerbienen,,3.975,,,,,1.508,
OC138,Osmia,Osmia cornuta,Female,Mauerbienen,,3.856,,,,2.434,1.337,
OC139,Osmia,Osmia cornuta,Female,Mauerbienen,,,,,,,,
OC140,Osmia,Osmia cornuta,Female,Mauerbienen,,3.855,,,,2.186,0.988,
OC141,Osmia,Osmia cornuta,Female,Mauerbienen,,3.582,,,,1.842,0.936,
OC142,Osmia,Osmia cornuta,Female,Mauerbienen,,3.83,,,,2.2,1.342,
OC143,Osmia,Osmia cornuta,Female,Mauerbienen,,3.827,,,,2.41,1.257,
OC144,Osmia,Osmia cornuta,Female,Mauerbienen,,3.365,,,,,0.976,
OC145,Osmia,Osmia cornuta,Female,Mauerbienen,,3.682,,,,2.249,1.33,
OC146,Osmia,Osmia cornuta,Female,Mauerbienen,,3.663,,,,2.115,1.213,
