FirstLineOfData=25
#-----------------------------------------------------------
# Name: OC119.1.dat
# Format: Focal Data File 1.0
# Updated: Fri Aug 25 11:15:57 CEST 2017
#-----------------------------------------------------------
 
FocalMasterFile=D:/JWatcher/Datos/FU Experiments.fmf
 
# Observation started: Fri Aug 25 11:11:36 CEST 2017
StartTime=1503652296306
# Observation stopped: Fri Aug 25 11:15:21 CEST 2017
StopTime=1503652521306
 
Answer.1=OC119.1
Answer.2=Osmia cornuta
Answer.3=Male
Answer.4=Control
Answer.5=
Answer.6=2x
 
 
 
#BEGIN DATA
0, u
1018, 3
6561, 4
7600, 2
10123, o
10941, u
15148, 4
43545, 3
47281, 1
50873, 3
52489, 2
54308, 1
55864, 3
57043, 4
57682, 2
62122, 1
64057, 3
65553, 4
66060, 2
70029, o
71122, u
73138, 1
75350, 3
75609, 4
75923, 3
79124, 1
83466, 3
83909, 4
85287, 2
87051, 1
89325, 3
91649, 1
91956, 2
93961, 1
96468, 3
98323, 1
120666, 2
125278, 4
127755, 2
130384, 1
131870, 3
132696, 1
136315, 3
138016, 1
145698, 2
154333, 4
160876, 3
162897, 4
163446, 2
163702, 1
166252, 3
167616, 1
170363, 2
173606, 1
176183, 3
183823, 1
186868, 2
191670, 1
192606, 3
193829, 4
195350, 3
196154, 2
196490, 1
203177, 3
207254, 1
215960, 3
217309, 4
219052, 2
220490, 1
223127, 3
224118, 4
225000, EOF
