"","PC1","PC2","PC3","PC4"
"refuge.time",0.564658728256032,-0.187127063318743,0.382254736031309,0.707124670450422
"getting.out.refuge.time",0.562542907385751,0.00853224422179154,-0.826724063083448,-4.09551040463363e-05
"refuge.prop",0.564658119240096,-0.187121713549276,0.382324435601017,-0.70708889019485
"refuge.enter.times",-0.214166305310862,-0.964311219109591,-0.155681297023094,-1.12283829543786e-05
