"","ID","success5","success.time5","virtual.success.time5","refuge.time","refuge.enter.times","success1","success.time1","total.cue.time1","virtual.success.time1","time.until.any.cue2","time.until.lid.exploring","success4","correct.cue.time4","success.time4","virtual.success.time4","activity.time5","times.resting5","activity.prop5","sex","IT","brain.weight","lobeless.weight","experiment.type","virtual.time.until.lid.exploring","success5.as.numeric"
"19","OC45",1,392036,392036,234532,0,TRUE,533860,29734,533860,97742,349364,TRUE,208562,79566,79566,395852,0,1,"Female",3.657,NA,NA,"Treatment",349364,1
"21","OC52",0,NA,9e+05,306082,1,TRUE,589136,64348,589136,187868,NA,TRUE,68692,131300,131300,350880,2,0.3899,"Male",2.847,1.627,0.758,"Treatment",9e+05,0
"22","OC54",0,NA,9e+05,9e+05,0,FALSE,NA,0,9e+05,NA,867996,FALSE,93336,NA,9e+05,490780,1,0.5453,"Male",3.367,1.825,1,"Treatment",867996,0
"25","OC58",0,NA,9e+05,694742,0,FALSE,NA,13548,9e+05,17866,120530,TRUE,259006,70564,70564,478384,1,0.5315,"Female",3.541,NA,NA,"Treatment",120530,0
"26","OC70",0,NA,9e+05,15370,1,TRUE,234922,68426,234922,50728,NA,NA,NA,NA,NA,115050,1,0.1278,"Female",3.563,NA,NA,"Treatment",9e+05,0
"27","OC71",0,NA,9e+05,9e+05,0,FALSE,NA,0,9e+05,21778,NA,TRUE,347184,214940,214940,9e+05,0,1,"Female",3.694,2.304,1.047,"Treatment",9e+05,0
"28","OC73",0,NA,9e+05,202824,1,TRUE,149060,73106,149060,6520,20524,TRUE,768422,20170,20170,852832,1,0.9476,"Female",3.761,2.643,1.084,"Treatment",20524,0
"29","OC74",0,NA,9e+05,662794,0,FALSE,NA,31636,9e+05,4760,10258,FALSE,178832,NA,9e+05,707316,2,0.7859,"Female",3.553,NA,0.835,"Treatment",10258,0
"31","OC86",0,NA,9e+05,9e+05,0,FALSE,NA,0,9e+05,60010,102252,TRUE,121240,142704,142704,9e+05,0,1,"Female",3.259,NA,NA,"Treatment",102252,0
"32","OC88",1,3e+05,3e+05,89090,2,TRUE,448374,146894,448374,69738,42662,TRUE,224904,46606,46606,370348,0,1,"Female",3.608,NA,NA,"Treatment",42662,1
"33","OC89",0,NA,9e+05,58472,1,TRUE,287974,154748,287974,121054,530594,TRUE,440408,90000,90000,9e+05,0,1,"Female",NA,NA,NA,"Treatment",530594,0
