"","refuge.time","getting.out.refuge.time","refuge.prop","refuge.enter.times"
"refuge.time",1,0.928563610498359,0.99999999728398,-0.200298458923259
"getting.out.refuge.time",0.928563610498359,1,0.928558389303689,-0.359714476751265
"refuge.prop",0.99999999728398,0.928558389303689,1,-0.200303639274988
"refuge.enter.times",-0.200298458923259,-0.359714476751265,-0.200303639274988,1
